symbol,start_time,end_time,label
c,2024-12-24T23:42:53,2024-12-24T23:42:53,normal
b,2024-12-24T23:47:53,2024-12-25T00:42:53,high
a,2024-12-25T00:47:53,2024-12-25T01:07:53,extremely_high
b,2024-12-25T01:12:53,2024-12-25T01:32:53,high
c,2024-12-25T01:37:54,2024-12-25T04:42:54,normal
b,2024-12-25T04:47:54,2024-12-25T05:42:54,high
a,2024-12-25T05:47:54,2024-12-25T07:12:54,extremely_high
b,2024-12-25T07:17:54,2024-12-25T08:12:54,high
c,2024-12-25T08:17:54,2024-12-25T11:17:54,normal
d,2024-12-25T11:22:55,2024-12-25T11:22:55,low
c,2024-12-25T11:27:54,2024-12-25T16:47:55,normal
b,2024-12-25T16:52:54,2024-12-25T16:52:54,high
c,2024-12-25T16:57:55,2024-12-25T17:02:55,normal
b,2024-12-25T17:07:55,2024-12-25T17:12:55,high
c,2024-12-25T17:17:55,2024-12-25T17:17:55,normal
b,2024-12-25T17:22:55,2024-12-25T20:07:55,high
c,2024-12-25T20:12:55,2024-12-25T23:57:55,normal
